location,lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
Burundi,burundi,0.022694263,423.062,17.5,702.225,11890781,1493.342,7406.639,2547.729,20,9011.421,604.9754,972.1293,1810.876,1718.909,3412.165,140.879,4710.983,92.67948,331.2584,8658.677,442.6821,62.32876,2620.017,28.33747,9099.438,2287.058,1064.582,7481.834,109.8499,6,5397.317,28.39008,2603.028,697.5737,236.9999,1378.659,146.2265
Cambodia,cambodia,0.070187978,90.672,25.6,3645.07,16718971,362.6007,9865.957,315.2763,-1,24913.27,2659.474,1837.909,4428.835,9017.617,11445.71,608.9231,12662.59,405.3332,255.2257,1228.269,1303.861,384.0918,1378.309,56.74704,2998.235,3981.31,425.1857,4094.419,194.5126,-1,1669.388,21.15308,363.8279,661.1935,1,2756.125,92.95728
Cameroon,cameroon,0.031419558,50.885,18.8,3364.926,26545864,3110.443,16148.4,1939.356,228,22662.69,2550.461,3248.618,5096.263,4080.348,7473.625,380.1554,14657.63,455.1914,562.1618,22040.52,881.8514,728.1854,22802.72,547.2981,8077.383,4108.18,2592.445,13311.45,355.5957,3,12644.02,256.0214,2030.931,2171.76,446,3597.822,236.6199
Canada,canada,0.123281199,4.037,41.4,44017.591,37742157,111.2311,9047.952,269.4734,6,80837.7,25219.45,6087.331,16133.43,4844.517,11283.27,95.97547,86229.46,3861.862,514.8428,-1,325.3541,544.3868,273.753,2076.306,134.3473,2740.576,30.79654,965.6683,1263.111,4,1508.433,137.7324,338.152,4616.26,-1,6959.384,141.1559
Chad,chad,0.015592126,11.833,16.7,1768.153,16425859,4231.757,19421.15,4212.769,62,13094.07,1174.428,1568.085,2538.472,2040.321,4210.892,369.3321,6619.643,209.6193,549.4141,7679.413,979.7375,876.3738,4925.931,87.33804,6648.937,2602.244,2745.376,17167.21,110.4018,-1,24902.8,204.7195,4335.826,791.254,297,1441.116,200.3047
Chile,chile,0.108877443,24.282,35.4,22767.037,19116209,128.3431,4588.013,416.4759,-1,29905.85,8340.453,4225.065,6140.571,4980.295,7955.389,32.646,30116.49,1271.626,361.5759,-1,401.8875,799.1509,504.5455,129.43,463.8865,2280.885,55.74396,715.6574,671.3912,28,398.3143,48.53345,443.7985,2061.401,-1,3331.47,58.76098
China,china,0.118562071,147.674,38.7,15308.712,1439323774,7416.025,179389.9,8066.489,16,4377972,490209.6,175890.7,1009685,153769.5,283661.6,9518.788,2606907,74201.7,10835.52,104.8562,63780.66,14535.58,34799.67,22445.16,39278.21,261802.3,2240.511,54061.34,21011.77,575,6531.666,4882.666,10682.77,128586.3,-1,153184.5,27125.26
Colombia,colombia,0.094934707,44.223,32.2,13254.949,50882884,496.3442,7850.557,1114.921,84,68023.45,15050.09,8501.609,15303.41,3886.208,10846.84,64.55094,46575.89,1812.861,216.6111,37.46163,1152.082,15053.3,2636.559,237.1596,945.6392,7437.416,427.1816,4914.849,120.1938,350,862.7768,17.69146,1153.113,2915.319,-1,6154.764,91.62389
Comoros,comoros,0.040717586,437.352,20.4,1413.89,869595,69.33248,383.6671,50.8294,-1,982.0129,107.7986,104.3317,143.9749,87.69425,234.6801,11.00309,565.257,14.79348,19.4034,1.044961,18.41356,54.74717,1.62827,3.603531,305.4468,112.9673,30.94689,286.4913,8.266076,-1,272.1084,2.728349,53.29239,43.55971,-1,150.8524,8.464384
Congo,congo,0.035175412,15.405,19,4881.406,5518092,411.5512,2308.009,328.4673,-1,6527.356,488.3665,670.7771,1080.88,1014.047,1614.8,57.6044,3275.48,75.91157,114.7776,2244.005,247.0762,253.0316,5571.17,70.7642,2278.64,1228.55,521.5727,1716.984,72.19756,-1,2107.446,27.51782,341.5341,462.614,25,1033.993,45.67765
