location,lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
Sierra Leone,sierra leone,0.038117461,104.7,19.1,1390.3,7976985,1696.972,7169.561,1535.501,-1,9659.372,756.8442,896.06,1434.512,1086.083,2316.54,165.6816,4019.197,134.371,217.2854,11118.62,376.6439,107.3438,2190.557,73.46793,3503.234,1244.606,1220.439,7137.198,68.58745,250,4757.219,82.62645,1578.65,453.3479,-1,964.0714,86.92909
Singapore,singapore,0.141129699,7915.731,42.4,85535.383,5850343,5.330812,2695.76,0.701273,-1,6160.833,1617.08,594.3542,613.8971,254.1532,554.0061,1.962991,5448.964,184.4271,12.87969,-1,26.196,25.81638,32.67193,16.85078,19.55807,196.5659,3.593241,27.163,12.52347,-1,14.64297,2.292186,1.396782,496.3444,-1,155.1382,3.560083
Slovakia,slovakia,0.126031516,113.128,41.2,30155.152,5459643,25.15037,1679.953,5.394209,-1,25215.57,2992.155,713.1384,1107.395,1526.884,2747.709,5.378949,13227.27,368.159,52.79567,-1,122.0429,131.626,3.9077,47.09687,29.99897,442.3026,3.977861,126.8055,245.4648,-1,22.01784,81.36083,7.314466,674.5377,-1,731.8321,33.39131
Slovenia,slovenia,0.131495562,102.619,44.5,31400.84,2078932,6.994169,601.42,0.46441,-1,7450.136,1533.89,212.6636,630.0692,541.1972,1058.258,1.031157,5907.06,207.018,12.4686,-1,21.72651,20.28144,2.471721,27.42066,13.45817,142.4536,1.187615,17.36222,195.1779,-1,6.021195,14.89042,1.372771,430.197,-1,300.2122,6.245362
Solomon Islands,solomon islands,0.034817431,21.841,20.8,2205.923,686878,17.98246,461.9585,21.91225,-1,1263.516,62.30803,149.3749,215.8046,74.84823,114.8165,9.864767,383.8853,11.04902,12.41334,2.310302,62.7193,33.32367,28.07613,2.226483,58.86475,117.2783,30.16406,148.1062,4.490519,-1,48.97745,8.107067,22.8672,92.884,-1,267.9607,7.191736
Somalia,somalia,0.014578315,23.5,16.8,-1,15893219,3282.386,13032.59,3353.021,1912,18048.22,1031.161,2023.024,3059.354,2521.946,4786.491,311.6268,9299.423,155.6243,550.3793,1155.334,727.5087,1401.42,2392.796,46.54041,12696.59,5154.261,2363.09,12265.15,153.9455,-1,10547.94,75.81536,3434.626,852.4742,5444.991,2635.883,242.403
South Africa,south africa,0.077898942,46.754,27.3,12294.876,59308690,2313.517,26529.31,1788.659,21,76671.18,11383.22,9149.349,18132.17,4604.68,11630.01,184.3105,48636.87,1177.479,1927.967,67.53331,1439.407,15700.98,135398.6,719.5077,19624.02,15503.66,1191.246,10626.06,681.6917,14,14301.99,402.8583,1841.045,6221.012,64,22654.21,492.4402
Spain,spain,0.132822309,93.105,45.5,34272.36,46754783,191.5171,12940.8,178.3103,21,123576.9,51758.84,10605.49,33489.81,8132.423,21592.74,121.3577,115657.3,5807.826,342.682,-1,452.1788,331.4889,708.3444,826.7496,386.8077,2451.604,20.44052,594.1619,463.8814,-1,936.0294,146.7696,329.4581,3742.526,-1,8291.988,124.233
Sri Lanka,sri lanka,0.094058118,341.955,34.1,11669.077,21413250,318.9553,4985.59,121.9962,1,41866.94,5970.909,4512.028,12266.74,4020.915,5245.756,25.41402,16628.05,736.8259,418.7218,-1,1037.314,762.4303,55.80752,194.7626,773.2472,2795.433,88.49062,1245.023,506.8696,36,712.2781,53.52413,138.3274,4523.488,1,11536.85,80.12393
Sudan,sudan,0.036323708,23.258,19.7,4466.507,43849269,1107.971,9402.255,609.7206,82,69011.62,4395.846,3175.418,5901.858,3147.591,5147.765,519.095,15170.64,616.6065,1120.785,2551.626,1206.753,427.1227,5296.181,433.3111,1221.1,10692,2369.809,25223.84,117.494,-1,8235.723,75.76762,686.0886,1655.445,1367,3195.733,569.8
Suriname,suriname,0.081539491,3.612,29.6,13767.119,586634,7.989431,181.5268,12.65181,-1,1395.629,169.5389,209.2723,123.0338,123.5472,242.5496,2.635655,665.8017,23.72808,10.03436,3.194927,30.3384,51.91285,101.7875,8.167025,9.198064,98.62939,10.46337,143.5983,20.40625,-1,38.48796,2.981172,13.98488,147.0361,-1,225.8375,2.5044
Sweden,sweden,0.11818819,24.718,41,46949.283,10099270,31.73713,2902.619,79.13863,5,34163.55,9660.129,1461.491,4517.87,1070.524,3033.801,8.174221,24052.96,1213.286,176.4949,-1,108.5418,120.4824,22.7691,398.7785,79.11377,390.2008,3.852403,134.6236,374.5424,-1,620.4051,105.1881,104.0973,1395.496,-1,1721.891,37.69406
Switzerland,switzerland,0.127611521,214.243,43.1,57410.166,8654618,28.25897,1696.58,45.8403,-1,21280.01,7596.93,1558.368,2815.637,939.8523,2640.838,77.15241,17882.09,852.4482,41.25425,-1,52.25032,52.7022,38.33975,201.3189,32.93509,334.4328,5.230806,154.4101,255.2117,-1,206.0057,16.10767,69.94054,1132.983,-1,1123.458,11.16523
Syria,syria,0.066264827,-1,21.7,-1,17500657,230.9726,1945.951,64.19526,2026,41380.03,3156.501,2257.063,2993.924,1525.329,2139.315,9.468173,8794.546,421.7722,137.1201,-1,152.4926,339.5755,11.3107,242.3009,58.07177,1747.977,43.75874,976.0004,76.833,-1,52.68958,30.33347,68.45561,487.2235,41378.35,1161.099,74.05264
Taiwan,taiwan,0.130777965,-1,42.2,-1,23816775,130.9233,13114.76,102.9213,-1,40528.16,12813.79,6743.481,9474.245,6509.595,10312.86,238.1654,53165.2,1961.385,211.001,-1,584.8351,336.7957,197.9752,467.9613,853.0327,3983.737,26.69914,348.018,486.6415,5,128.9646,42.49219,113.4347,4355.488,-1,9521.81,90.72272
Tajikistan,tajikistan,0.046846326,64.281,23.3,2896.913,9537642,283.5876,4901.968,6.930583,1,18268.77,1288.787,641.4873,1463.651,1536.232,2157.471,135.8553,4720.742,202.0765,242.6341,-1,710.9127,267.3432,44.5243,34.44053,780.0252,645.3774,71.58969,3672.4,183.0223,13,1782.869,13.29127,43.32605,485.4659,-1,1322.578,56.97185
Tanzania,tanzania,0.025605247,64.699,17.7,2683.304,59734213,5340.16,33485.52,6529.952,8,44174.83,5678.308,5805.821,6391.296,6161.393,12862.41,853.5374,27864.47,705.0905,1459.506,15325.28,1819.103,3050.668,28298.59,288.1029,20391.08,5559.848,4915.549,34523.39,600.7169,7,15196.46,125.8749,6721.465,2635.798,43,7084.131,672.1745
Thailand,thailand,0.119000281,135.132,40.1,16277.671,69799978,1236.779,36187.58,421.3279,72,102583,31550.27,21921.91,19812.82,17238.74,27266.27,303.1824,102596.4,3686.963,811.838,31.13492,5044.98,4247.926,19371.99,714.8031,6225.921,19182.62,250.7262,2259.409,2313.133,77,4340.307,45.95932,463.9672,8769.342,33,14842.9,206.3219
Timor,timor,0.046186637,87.176,18,6570.102,1318442,40.52878,479.3209,38.7284,-1,2284.188,191.2015,147.4965,451.2132,227.3649,420.4619,11.75746,834.3412,30.69084,18.49765,1.829682,70.38082,35.04025,222.651,4.111209,222.1603,117.7573,94.7285,442.3464,11.49758,-1,176.0677,1.744021,42.88792,76.99288,-1,184.6825,6.556864
Togo,togo,0.036670992,143.366,19.4,1429.813,8278737,726.2729,3741.704,461.3478,-1,7580.667,578.5142,758.5454,1294.082,747.3582,1728.289,126.3286,3618.885,104.0262,134.2121,6904.312,203.3685,402.2957,3874.599,104.5345,2349.203,1135.002,497.5258,4066.07,86.06751,-1,3201.88,67.04813,489.2098,568.0595,21,826.3165,63.05785
Trinidad and Tobago,trinidad and tobago,0.109977227,266.886,36.2,28763.071,1399491,16.12924,313.6418,23.056,-1,3918.167,469.9325,472.9286,251.9622,181.3337,453.0005,5.445478,1884.746,64.58978,24.47473,-1,47.05171,318.07,219.4472,16.38493,21.13569,210.4879,9.718822,160.3692,37.77546,-1,25.42261,2.786362,23.88618,157.997,-1,1639.745,2.779388
Tunisia,tunisia,0.092378926,74.228,32.7,10849.297,11818618,95.78668,1650.137,19.82449,5,34122.27,3939.939,1645.081,2497.376,1000.505,1775.718,97.95875,9409.365,499.4841,172.619,-1,98.23588,67.07749,193.6858,223.6695,131.1005,3668.632,46.35048,846.7323,29.06738,-1,117.0721,11.63107,25.73168,376.9625,25,1933.594,76.27208
Turkey,turkey,0.091453936,104.914,31.6,25129.341,84339067,362.5053,11029.4,432.2999,222,146584.5,25062.64,15152.97,30377.12,5023.637,10146.69,377.9362,92759.99,3264.836,420.1655,-1,861.3277,1709.297,200.1702,524.6834,751.1631,8603.612,243.9114,7758.61,220.7765,-1,515.9515,70.78965,635.8273,2858.415,2966.001,14803.26,441.0666
Uganda,uganda,0.018172348,213.759,16.4,1697.707,45741000,4915.038,14830.62,3440.368,7,22888.26,2446.464,3014.725,4523.568,4316,8741.877,344.4118,20659.47,314.8187,822.5555,22236.77,1083.687,1523.302,25920.1,104.9624,14181.29,5826.318,1753.094,26522.63,326.2447,17,11833.29,85.95648,3519.305,2028.639,28,3794.34,357.2425
Ukraine,ukraine,0.12261207,77.39,41.4,7894.393,43733759,468.7422,9215.056,62.24858,40,427320.6,34913.44,2900.348,11366.17,20082.89,30536.79,151.895,96033.79,3863.737,1940.55,-1,3150.378,4504.34,5075.779,1756.124,3752.966,6681.289,145.4567,1453.937,8270.023,-1,103.3614,2500.008,171.7226,13679.15,478,2623.672,1473.084
United Kingdom,united kingdom,0.116879987,272.898,40.8,39753.244,67886004,289.5171,36951.86,99.54298,42,176515.8,63893.94,6765.522,47297.63,9257.607,29640.11,64.05475,179856.3,7334.281,626.5777,-1,335.3198,355.2125,264.0831,3011.384,387.8863,2678.724,61.74298,1673.313,2319.399,-1,1226.34,284.7264,144.7518,5777.964,-1,5435.839,149.5086
United States,united states,0.112420847,35.608,38.3,54225.446,331002647,1425.542,93791.66,4292.025,95,902270.5,258586.6,84944.3,196983,62493.46,114419.1,1080.601,699394,29576.52,5505.231,-1,4218.396,19880,7342.708,67629.29,939.1084,44213.78,1171.32,11437.05,13968.93,103,9505.705,1454.881,4904.563,48799.65,8.850361,68558.42,1823.258
Uruguay,uruguay,0.102107454,19.751,35.6,20551.409,3473727,16.97631,1476.245,81.46954,-1,9911.833,2362.666,786.9811,2064.784,495.2749,1454.907,9.609048,9575.979,340.2317,84.77855,-1,92.32306,209.8152,180.5595,39.40427,56.58622,609.0619,12.2241,163.3916,120.6018,-1,148.8637,11.32731,133.967,676.3705,-1,796.2946,23.81339
Vanuatu,vanuatu,0.042268471,22.662,23.1,2921.909,307150,9.810282,119.6968,11.7028,-1,797.001,46.96195,66.81684,145.8882,59.23934,130.045,6.00723,274.2009,8.723828,5.325063,0.60242,30.74889,4.799882,13.44969,1.234525,28.08262,51.92034,9.37018,87.00208,3.291237,-1,34.79885,7.67909,12.18687,45.45128,-1,94.34849,3.391671
Venezuela,venezuela,0.081724614,36.253,29,16745.022,28435943,314.6805,5184.285,424.8705,5,52708.25,6897.681,8403.247,5693.619,3744.875,6880.622,166.5717,30237.86,958.5374,219.0637,16.4245,729.3449,14759.77,2127.57,239.411,786.7109,6988.099,394.9568,3966.249,217.3296,-1,1233.167,13.65721,445.5756,2784.667,-1,8670.358,110.2345
Zambia,zambia,0.025393961,22.995,17.7,3689.251,18383956,2459.457,8979.435,2586.371,-1,12157.08,1375.849,1852.649,2227.183,3257.312,5040.158,312.3368,8825.995,199.8378,422.2898,4673.108,625.5309,993.5355,21806.82,96.94779,8306.847,2098.35,717.6445,9688.018,202.3151,-1,7748.348,19.93002,2637.116,1160.836,1,2351.565,180.8079
Zimbabwe,zimbabwe,0.033197686,42.729,19.6,1899.775,14862927,1677.007,12369.65,3111.874,-1,16976.9,1246.101,1739.892,3411.961,1439.682,3387.438,134.9903,11439.82,182.254,592.2464,685.6821,730.0942,1179.9,16065.33,255.802,11958.07,2729.9,1180.699,8411.916,77.19234,-1,4602.594,41.43361,3157.592,2647.469,5,2746.74,405.3773
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,niger,0,16.955,15.1,926,24206636,0.322830773,0.814237881,0.0907944,0.006114026,0.577009957,0.050047846,0.073397931,0.126140658,0.062127757,0.182271134,0.028429824,0.337819059,0.008621293,0.027146606,1.259371191,0.049695257,0.043429496,0.080577904,0.003212934,0.239962298,0.104994102,0.121036066,0.669303657,0.00495289,0.002974391,0.907000874,0.009488427,0.096256291,0.031093073,0.012723784,0.069625288,0.010666071
Mali,mali,0.013914751,15.196,16.4,2014.306,20250834,0.28283087,0.572116684,0.319902331,0.017826426,0.890598382,0.081677229,0.10588038,0.233884145,0.088094397,0.236675043,0.032049381,0.514035619,0.013851647,0.038280591,1.238490721,0.075195027,0.052415718,0.286729919,0.004213734,0.173962613,0.153526319,0.126360228,1.315515697,0.005690462,-1,0.759785498,0.011401916,0.330149662,0.03576153,0.042961194,0.101678133,0.014429969
Somalia,somalia,0.014578315,23.5,16.8,-1,15893219,0.20652745,0.820009464,0.210971799,0.120302879,1.135592481,0.064880563,0.1272885,0.192494296,0.15868063,0.30116561,0.019607532,0.585118911,0.009791868,0.034629819,0.072693518,0.045774786,0.088177228,0.150554523,0.002928319,0.798868373,0.324305668,0.148685424,0.771722204,0.009686238,-1,0.663675496,0.004770296,0.216106378,0.053637605,0.342598375,0.165849536,0.015251976
Chad,chad,0.015592126,11.833,16.7,1768.153,16425859,0.257627744,1.182352168,0.256471762,0.003774536,0.797161963,0.071498726,0.095464414,0.154541202,0.12421396,0.256357491,0.022484797,0.403001329,0.012761543,0.03344812,0.46751972,0.059646043,0.053353301,0.299888791,0.005317106,0.404784736,0.158423617,0.167137439,1.045133165,0.006721219,-1,1.516072919,0.012463245,0.263963425,0.04817124,0.018081246,0.08773459,0.012194473
Angola,angola,0.01606743,23.89,16.8,5819.495,32866268,0.098324823,0.441437403,0.134856869,0.000212984,0.66282731,0.05018498,0.085474962,0.114117824,0.161084094,0.251752526,0.012520935,0.366327871,0.007307535,0.021647831,0.256526144,0.061013773,0.027071626,0.443758932,0.005083422,0.347146807,0.206327837,0.064715379,0.54408094,0.007515152,0.00033469,0.529123051,0.004304142,0.137399141,0.053124225,0.001703875,0.108261364,0.008684661
Uganda,uganda,0.018172348,213.759,16.4,1697.707,45741000,0.107453663,0.32423034,0.075214097,0.000153036,0.500388273,0.053485145,0.065908594,0.098895258,0.09435736,0.191116875,0.007529608,0.451661966,0.006882637,0.017982893,0.486145253,0.023691808,0.03330277,0.566671039,0.002294712,0.310034542,0.127376271,0.038326534,0.579843685,0.007132435,0.000371658,0.25870204,0.0018792,0.076939835,0.044350561,0.000612142,0.082952712,0.007810116
Burkina Faso,burkina faso,0.022206764,70.151,17.6,1703.102,20903278,0.265534334,0.916998281,0.189912654,0.002535487,0.936188573,0.087438965,0.132464918,0.120707384,0.09996126,0.258276477,0.018021049,0.53083923,0.014807505,0.03535346,1.462666765,0.057881831,0.103904182,0.126144282,0.006527579,0.353584926,0.167287494,0.089102197,0.734716344,0.012575559,9.57E-05,0.587759011,0.004604415,0.201841836,0.072112948,0.004736099,0.134770776,0.015945662
Gambia,gambia,0.022548762,207.566,17.5,1561.767,2416664,0.117326157,0.511170357,0.088924236,-1,1.111340261,0.110714439,0.100655697,0.166518887,0.117699026,0.233319899,0.014674961,0.451193877,0.01938365,0.020066203,0.055690696,0.028159165,0.010958582,0.365252803,0.010310461,0.250073821,0.118413689,0.129238653,0.50316221,0.008527329,-1,0.254929771,0.00836768,0.092537688,0.049339544,0.001241381,0.121260382,0.008323395
Burundi,burundi,0.022694263,423.062,17.5,702.225,11890781,0.125588218,0.622889195,0.214260863,0.001681975,0.757849379,0.050877684,0.081754874,0.152292436,0.144558124,0.286958863,0.01184775,0.396187853,0.00779423,0.027858422,0.728184044,0.037229018,0.005241772,0.220340195,0.002383146,0.7652515,0.192338754,0.089530032,0.629213001,0.009238241,0.000504593,0.453907695,0.002387571,0.218911441,0.058665087,0.019931399,0.11594352,0.012297468
Mozambique,mozambique,0.023063482,37.728,17.7,1136.103,31255435,0.105293975,0.444562042,0.07770143,0.000703878,0.954483596,0.072233389,0.082623326,0.124210077,0.076148356,0.227722858,0.022009484,0.506344896,0.010215235,0.028750261,0.589431886,0.03737078,0.060955735,1.987986729,0.008871571,0.615381293,0.162453794,0.066859476,0.619876191,0.015855028,0.000223961,0.341988841,0.001212922,0.081669924,0.087082967,0.005503043,0.13991285,0.013016981
Nigeria,nigeria,0.024372832,209.588,18.1,5338.454,206139587,0.256853818,0.921364512,0.121551907,0.008756203,0.594352117,0.099211075,0.066653185,0.092420822,0.220596057,0.344794811,0.016034465,0.468397174,0.014389997,0.019815447,0.738530149,0.037895317,0.034602441,0.820330061,0.01004906,0.277576378,0.096100901,0.087233802,0.874915404,0.009514073,9.70E-05,0.671189372,0.00629341,0.124958289,0.039145732,0.01968569,0.059418233,0.008121778
Zambia,zambia,0.025393961,22.995,17.7,3689.251,18383956,0.133782794,0.488438669,0.140686314,-1,0.661287483,0.074839659,0.100775317,0.12114819,0.177182321,0.274160687,0.01698964,0.480092261,0.010870228,0.022970562,0.254194908,0.034025914,0.054043618,1.186187565,0.0052735,0.451853072,0.114140286,0.039036457,0.526982223,0.011004982,-1,0.421473376,0.001084099,0.143446601,0.063143972,5.44E-05,0.127913981,0.009835092
Tanzania,tanzania,0.025605247,64.699,17.7,2683.304,59734213,0.089398683,0.560575227,0.109316783,0.000133927,0.739523094,0.09505956,0.097194233,0.106995567,0.103146801,0.215327354,0.01428892,0.466474213,0.011803797,0.024433334,0.256557829,0.030453285,0.051070699,0.47374174,0.00482308,0.3413635,0.093076442,0.082290345,0.577950027,0.010056496,0.000117186,0.254401276,0.00210725,0.112522869,0.044125433,0.000719855,0.118594197,0.011252756
Guinea,guinea,0.026319548,51.755,19,1998.926,13132792,0.18954431,0.916255279,0.175758437,-1,1.229826072,0.12149016,0.121684635,0.220689325,0.128577153,0.238406959,0.019681786,0.618657251,0.0206903,0.027671267,0.864664574,0.045505038,0.056892152,0.227586107,0.008596101,0.450544484,0.150635676,0.149335572,0.762331422,0.008806833,-1,0.402615148,0.012122342,0.183773108,0.056824809,0.002132068,0.12785126,0.011049851
Senegal,senegal,0.026987077,82.328,18.7,2470.58,16743930,0.120318826,0.461498227,0.050316754,-1,0.883554219,0.11707574,0.115279089,0.170342566,0.084873921,0.223789397,0.015475877,0.533359193,0.019880189,0.022231418,0.128161967,0.030024887,0.008808201,0.107739999,0.007669036,0.313551,0.107501465,0.084065091,0.470438004,0.00759001,-1,0.434160618,0.00996382,0.053488751,0.066382743,-1,0.140272505,0.008936319
Benin,benin,0.028950299,99.11,18.8,2064.236,12123198,0.141559183,0.623977683,0.109006716,-1,0.760648057,0.095706265,0.106537813,0.163548595,0.104716594,0.216860601,0.016587851,0.44819329,0.01517084,0.021424339,0.778094278,0.034673112,0.047706389,0.149282805,0.00807271,0.238366147,0.255128886,0.093496782,0.794093852,0.010670559,-1,0.526532026,0.009617611,0.113419825,0.05722189,0.001072324,0.100315115,0.009043332
Malawi,malawi,0.029154332,197.519,18.1,1095.042,19129955,0.125911744,0.492718984,0.106834229,-1,0.784427878,0.099171483,0.1012396,0.13384182,0.137987622,0.293561956,0.019833366,0.527580959,0.012720244,0.021826539,0.359847788,0.030119276,0.015298578,1.146638871,0.003685823,0.377663565,0.11641742,0.05498314,0.579293574,0.011479243,-1,0.369087277,0.002593409,0.109783949,0.062072807,0.000627288,0.138125521,0.009389008
Guinea-Bissau,guinea-bissau,0.030671322,66.191,19.4,1548.675,1967998,0.163641731,0.583952829,0.100541616,-1,1.129113952,0.070587927,0.13219734,0.187765689,0.147531959,0.268088585,0.023609607,0.502786944,0.012165454,0.024572428,0.11929443,0.046240784,0.076778686,0.731848813,0.011357979,0.437557558,0.197271491,0.069388892,0.836334183,0.009614212,-1,0.677351298,0.013281462,0.106155596,0.071446617,-1,0.128779704,0.010368618
Cameroon,cameroon,0.031419558,50.885,18.8,3364.926,26545864,0.117172415,0.608320754,0.073056805,0.008588909,0.853718304,0.096077528,0.122377558,0.191979549,0.153709369,0.281536325,0.014320702,0.552162476,0.017147357,0.021177001,0.830280755,0.033219917,0.027431219,0.858993326,0.020617076,0.304280283,0.154757818,0.097659093,0.501450998,0.013395522,0.000113012,0.476308475,0.009644493,0.076506495,0.081811615,0.016801111,0.1355323,0.008913626
Zimbabwe,zimbabwe,0.033197686,42.729,19.6,1899.775,14862927,0.112831544,0.832248587,0.209371546,-1,1.142231271,0.083839543,0.117062541,0.229561849,0.096863962,0.227911905,0.00908235,0.769688232,0.012262322,0.039847225,0.046133719,0.049121832,0.07938544,1.080899476,0.017210742,0.804556868,0.183671763,0.079439198,0.565966313,0.005193616,-1,0.309669421,0.002787715,0.212447521,0.178125681,0.000336407,0.184804783,0.027274392
Afghanistan,afghanistan,0.034096578,54.422,18.6,1803.987,38928341,0.169251189,0.55052847,0.035186267,0.156492669,1.441586735,0.074320429,0.10006111,0.177695037,0.057618484,0.132781641,0.024161392,0.428234535,0.011718665,0.012453585,0.031355074,0.051444756,0.090078691,0.007762131,0.008896834,0.093352578,0.223290122,0.105205896,0.706984662,0.003223228,0.003981675,0.158655644,0.003940137,0.03700805,0.044328244,0.042693831,0.15357608,0.009386329
Sao Tome and Principe,sao tome and principe,0.034612053,212.841,18.7,3052.714,219161,0.028927615,0.540305529,0.049055945,-1,1.087010919,0.109498177,0.207471539,0.390344541,0.361399838,0.451311228,0.023227472,0.586033099,0.020354903,0.004528808,0.002202408,0.017242091,0.04652972,0.000935144,0.007597223,0.109701772,0.107712869,0.038317219,0.256274109,0.011406569,-1,0.077464832,0.000917453,0.051316749,0.024352006,-1,0.063376194,0.008149465
Solomon Islands,solomon islands,0.034817431,21.841,20.8,2205.923,686878,0.026179991,0.672548109,0.031901226,-1,1.839505706,0.090711931,0.217469332,0.314181849,0.10896874,0.16715705,0.014361745,0.558884256,0.016085855,0.018072118,0.003363482,0.091310684,0.048514685,0.040874988,0.003241453,0.085698989,0.170741092,0.043914727,0.215622279,0.006537579,-1,0.071304438,0.011802776,0.033291502,0.135226343,-1,0.390113965,0.01047018
Congo,congo,0.035175412,15.405,19,4881.406,5518092,0.074582156,0.418262146,0.059525521,-1,1.182900901,0.088502783,0.121559608,0.1958793,0.183767686,0.292637383,0.010439188,0.593589233,0.013756851,0.020800233,0.406663209,0.044775658,0.045854908,1.009618905,0.012824034,0.412939835,0.222640362,0.094520479,0.311155378,0.013083791,-1,0.381915706,0.004986836,0.061893513,0.083835862,0.004530552,0.187382342,0.008277798
Democratic Republic of Congo,democratic republic of congo,0.035175412,35.879,17,808.133,89561404,0.112007177,0.654157677,0.142198642,0.006654652,0.929658159,0.065035459,0.089564395,0.184553829,0.142392029,0.274808108,0.015983448,0.37943465,0.009053867,0.023371831,0.906936207,0.065626707,0.027500663,0.183273478,0.006138469,0.595165525,0.228910101,0.113511843,0.602377895,0.008333878,0.005917728,0.4093242,0.005022904,0.145815937,0.060626316,0.031162966,0.12035843,0.01101624
Liberia,liberia,0.035260366,49.127,19.2,752.788,5057677,0.122906702,0.458105174,0.087384169,-1,0.872779341,0.086194769,0.102206645,0.109603085,0.144840111,0.24357368,0.016814411,0.418748172,0.013003579,0.017259097,0.555598549,0.026117128,0.019478907,0.363853801,0.008642913,0.295517092,0.098650764,0.139372562,0.482836883,0.009453878,-1,0.494980798,0.007948985,0.092028633,0.067107745,0.000790877,0.104840859,0.007851025
Madagascar,madagascar,0.036026366,43.951,19.6,1416.44,27691019,0.118606072,0.716968198,0.413592941,-1,1.246841801,0.051302771,0.075051734,0.231206118,0.106142645,0.217286262,0.012086276,0.423947562,0.007414798,0.024633185,0.209422087,0.030095566,0.014197892,0.091544013,0.002702844,0.146344308,0.125498921,0.094494609,0.635005523,0.00826629,0.002925136,0.844255316,0.002542809,0.421383193,0.057429234,0.0062114,0.106429669,0.010121022
Sudan,sudan,0.036323708,23.258,19.7,4466.507,43849269,0.025267719,0.214422161,0.013904921,0.001870043,1.573837411,0.100249014,0.072416669,0.134594216,0.071782063,0.117396826,0.011838168,0.345972472,0.014061956,0.025559947,0.058190845,0.027520482,0.009740703,0.120781512,0.009881832,0.027847671,0.243835308,0.054044436,0.575239692,0.002679497,-1,0.187818935,0.001727911,0.015646523,0.037753081,0.031174978,0.072879961,0.012994515
Ethiopia,ethiopia,0.036468403,104.957,19.8,1729.927,114963583,0.109074454,0.413731103,0.107425932,0.000582793,0.510764526,0.067405858,0.079003427,0.097959803,0.139774175,0.241471075,0.014324449,0.372251881,0.009046995,0.017512972,0.024212241,0.026019292,0.060657661,0.149446108,0.002399415,0.309648317,0.084738799,0.064807879,0.599309348,0.006886598,0.001000317,0.505417355,0.007358111,0.110306931,0.044414691,0.00922901,0.096110696,0.009518031
Togo,togo,0.036670992,143.366,19.4,1429.813,8278737,0.0877275,0.451965559,0.055726834,-1,0.915679167,0.069879524,0.09162574,0.15631394,0.090274422,0.208762399,0.015259405,0.437130084,0.012565467,0.016211664,0.833981319,0.02456516,0.04859385,0.468018129,0.012626866,0.283763453,0.137098449,0.060096824,0.491146174,0.010396213,-1,0.386759478,0.008098836,0.059092323,0.068616686,0.002536619,0.099811904,0.007616844
Eritrea,eritrea,0.037701529,44.304,19.3,1510.459,3546427,0.261443193,1.05375523,0.315069505,-1,1.469323914,0.109377438,0.180642038,0.282683106,0.313593372,0.593293475,0.034950557,1.118740637,0.01717241,0.049492461,0.002702725,0.068094592,0.187084296,0.428748146,0.012794122,1.430051429,0.362759758,0.216013131,0.849582975,0.028007998,-1,1.049900646,0.007437018,0.323449771,0.158079949,-1,0.255366796,0.02314765
Sierra Leone,sierra leone,0.038117461,104.7,19.1,1390.3,7976985,0.212733508,0.898780805,0.192491399,-1,1.210905123,0.094878479,0.112330661,0.179831352,0.136152067,0.290402953,0.020769953,0.503849136,0.016844835,0.027239038,1.393837396,0.047216323,0.013456688,0.274609643,0.009209987,0.439167681,0.156024613,0.152995023,0.894723758,0.008598167,0.031340162,0.596368051,0.010358105,0.197900585,0.056831986,-1,0.120856614,0.010897487
Mauritania,mauritania,0.03820734,4.289,20.3,3597.633,4649660,0.069412817,0.407528077,0.045019421,-1,0.843934395,0.120236318,0.098934524,0.128986356,0.091513164,0.193532344,0.00965202,0.496497593,0.018887082,0.014574941,0.05830579,0.018785453,0.031975069,0.004215728,0.008174671,0.116606935,0.14505652,0.109479016,0.42979078,0.006642544,0.003871251,0.32041203,0.006747713,0.047307545,0.033910135,0.000430139,0.116410447,0.006145879
Rwanda,rwanda,0.039309473,494.869,20.3,1854.211,12952209,0.101805723,0.49729108,0.115026325,0.000154414,0.627342873,0.086823414,0.088633452,0.162628552,0.20601922,0.37488169,0.020092017,0.487013219,0.011121022,0.024655678,0.235659647,0.027551887,0.02856827,0.228731331,0.002607041,0.352394329,0.205432679,0.056440349,0.457311181,0.012920252,0.000231621,0.300820347,0.002138065,0.11860417,0.0599652,0.000308828,0.124570566,0.009959637
