lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
bulgaria,0.130958549,65.18,44.7,18563.307,6948445,0.007046394,0.222870297,0.000564885,-1,9.443714385,0.855635901,0.208191185,0.474811271,0.29402924,0.509868323,0.003503719,2.696178785,0.119663119,0.015723907,-1,0.020836561,0.02564758,0.007860179,0.011542005,0.01650883,0.103520284,0.001657564,0.024467187,0.014946193,-1,0.003600341,0.015322723,0.001429854,0.143167558,-1,0.22791603,0.006732793
burkina faso,0.022206764,70.151,17.6,1703.102,20903278,0.265534334,0.916998281,0.189912654,0.002535487,0.936188573,0.087438965,0.132464918,0.120707384,0.09996126,0.258276477,0.018021049,0.53083923,0.014807505,0.03535346,1.462666765,0.057881831,0.103904182,0.126144282,0.006527579,0.353584926,0.167287494,0.089102197,0.734716344,0.012575559,9.57E-05,0.587759011,0.004604415,0.201841836,0.072112948,0.004736099,0.134770776,0.015945662
burundi,0.022694263,423.062,17.5,702.225,11890781,0.125588218,0.622889195,0.214260863,0.001681975,0.757849379,0.050877684,0.081754874,0.152292436,0.144558124,0.286958863,0.01184775,0.396187853,0.00779423,0.027858422,0.728184044,0.037229018,0.005241772,0.220340195,0.002383146,0.7652515,0.192338754,0.089530032,0.629213001,0.009238241,0.000504593,0.453907695,0.002387571,0.218911441,0.058665087,0.019931399,0.11594352,0.012297468
cambodia,0.070187978,90.672,25.6,3645.07,16718971,0.021687979,0.590105515,0.018857399,-1,1.490119817,0.159069239,0.109929552,0.264898779,0.539364354,0.684594166,0.036421087,0.757378549,0.024243908,0.015265634,0.073465586,0.077986917,0.022973411,0.082439822,0.003394171,0.179331312,0.238131282,0.025431332,0.244896591,0.011634245,-1,0.099849925,0.001265214,0.021761381,0.0395475,5.98E-05,0.164850157,0.005559988
cameroon,0.031419558,50.885,18.8,3364.926,26545864,0.117172415,0.608320754,0.073056805,0.008588909,0.853718304,0.096077528,0.122377558,0.191979549,0.153709369,0.281536325,0.014320702,0.552162476,0.017147357,0.021177001,0.830280755,0.033219917,0.027431219,0.858993326,0.020617076,0.304280283,0.154757818,0.097659093,0.501450998,0.013395522,0.000113012,0.476308475,0.009644493,0.076506495,0.081811615,0.016801111,0.1355323,0.008913626
canada,0.123281199,4.037,41.4,44017.591,37742157,0.002947132,0.239730655,0.007139852,0.000158973,2.141841019,0.668203728,0.161287311,0.42746444,0.128358244,0.298956681,0.002542925,2.284698779,0.102322239,0.013641054,-1,0.008620443,0.014423839,0.007253242,0.055012913,0.003559608,0.072613126,0.000815972,0.025585933,0.033466847,0.000105982,0.039966794,0.003649299,0.00895953,0.122310445,-1,0.184392853,0.003740006
chad,0.015592126,11.833,16.7,1768.153,16425859,0.257627744,1.182352168,0.256471762,0.003774536,0.797161963,0.071498726,0.095464414,0.154541202,0.12421396,0.256357491,0.022484797,0.403001329,0.012761543,0.03344812,0.46751972,0.059646043,0.053353301,0.299888791,0.005317106,0.404784736,0.158423617,0.167137439,1.045133165,0.006721219,-1,1.516072919,0.012463245,0.263963425,0.04817124,0.018081246,0.08773459,0.012194473
chile,0.108877443,24.282,35.4,22767.037,19116209,0.006713836,0.240006426,0.021786532,-1,1.564423678,0.436302669,0.221020025,0.321223261,0.260527336,0.416159344,0.001707765,1.5754426,0.066520825,0.018914624,-1,0.021023389,0.041804884,0.026393596,0.006770694,0.024266658,0.119316806,0.002916057,0.037437203,0.035121566,0.001464726,0.020836469,0.002538864,0.023215822,0.107835241,-1,0.174274617,0.003073882
china,0.118562071,147.674,38.7,15308.712,1439323774,0.005152437,0.124634848,0.00560436,1.11E-05,3.041686714,0.340583272,0.122203706,0.701499564,0.106834545,0.197079771,0.006613375,1.811202627,0.051553168,0.007528202,7.29E-05,0.044312934,0.010098895,0.024177791,0.01559424,0.02728935,0.18189257,0.001556641,0.037560236,0.014598362,0.000399493,0.00453801,0.003392333,0.007422076,0.089337995,-1,0.106428104,0.018845836
colombia,0.094934707,44.223,32.2,13254.949,50882884,0.00975464,0.154286793,0.021911514,0.00165085,1.336863099,0.295779029,0.167081901,0.30075752,0.076375545,0.213172665,0.001268618,0.915354759,0.03562811,0.004257052,0.000736232,0.022641838,0.295842115,0.051816226,0.004660891,0.018584623,0.146167344,0.008395389,0.0965914,0.002362166,0.006878541,0.01695613,0.00034769,0.0226621,0.057294689,-1,0.120959417,0.001800682
comoros,0.040717586,437.352,20.4,1413.89,869595,0.079729621,0.441202054,0.058451808,-1,1.129276157,0.123964144,0.119977346,0.165565464,0.100844934,0.269872872,0.01265312,0.650023287,0.017011919,0.022313146,0.001201664,0.021174869,0.062957089,0.001872446,0.004143919,0.35125179,0.129907946,0.035587705,0.329453711,0.009505662,-1,0.312913943,0.003137494,0.06128415,0.050091951,-1,0.173474319,0.009733708
congo,0.035175412,15.405,19,4881.406,5518092,0.074582156,0.418262146,0.059525521,-1,1.182900901,0.088502783,0.121559608,0.1958793,0.183767686,0.292637383,0.010439188,0.593589233,0.013756851,0.020800233,0.406663209,0.044775658,0.045854908,1.009618905,0.012824034,0.412939835,0.222640362,0.094520479,0.311155378,0.013083791,-1,0.381915706,0.004986836,0.061893513,0.083835862,0.004530552,0.187382342,0.008277798
costa rica,0.102731108,96.079,33.6,15524.995,5094114,0.007710886,0.102288367,0.003298903,-1,1.345100443,0.28617793,0.248356044,0.261321988,0.164974164,0.303454732,0.004638577,1.122281912,0.041408477,0.008267061,-1,0.029879956,0.095042828,0.030077792,0.009662891,0.011344334,0.153573831,0.00388272,0.051036039,0.022411552,0.003729795,0.020280151,0.000747019,0.003691239,0.077628298,-1,0.080114756,0.002777729
croatia,0.128378505,73.726,44,22669.797,4105268,0.004220553,0.13691854,0.000149005,-1,5.706294936,0.820757378,0.201851791,0.460470303,0.266795493,0.512714639,0.000403027,3.300342389,0.112663193,0.011168752,-1,0.020205412,0.011628761,0.002192675,0.018159114,0.013355545,0.092355018,0.000521234,0.017544721,0.06185053,-1,0.00743636,0.006088855,0.00073259,0.172344388,-1,0.24346201,0.00473496
cuba,0.121681736,110.408,43.1,-1,11326616,0.008821592,0.501324844,0.003744933,-1,3.3194813,0.616990723,0.206581383,0.388983788,0.164992616,0.350446859,0.000974032,2.313405875,0.0762017,0.009671971,-1,0.027303353,0.060810925,0.031897479,0.006767192,0.003826634,0.098948971,0.004690366,0.016324752,0.062122076,0.000882876,0.024428885,0.006428361,0.005320403,0.1581083,-1,0.156216208,0.003183708
