country name,pyramid distance,median age,GDP per capita,population density,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people,,Entity,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people
kenya,0.045171977,20,2993.028,87.324,102.718,5883.784,,greece,2696.816,302554.29
kuwait,0.14717509,33.7,65530.537,232.128,590.267,145524.844,,greenland,369.276,210505.029
kyrgyzstan,0.064162055,26.3,3393.474,32.333,451.244,30319.475,,grenada,1928.947,124089.723
latvia,0.120910646,43.9,25063.846,31.212,3037.065,431951.531,,guatemala,951.295,45683.782
lebanon,0.087290401,31.1,13367.565,594.561,1526.188,161629.723,,guinea,32.599,2701.22
lesotho,0.063925139,22.2,2851.153,73.562,322.825,15242.695,,guinea-bissau,84.347,4054.597
liberia,0.035260366,19.2,752.788,49.127,56.754,1428.514,,guyana,1551.253,80099.553
libya,0.084478259,29,17881.509,3.623,922.464,72103.939,,haiti,72.173,2649.094
lithuania,0.122849554,43.5,29524.265,45.135,3325.078,385678.522,,high income,1917.495,229741.981
luxembourg,0.125164288,39.7,94277.965,231.447,1641.426,350975.246,,honduras,1081.984,41863.088
madagascar,0.036026366,19.6,1416.44,43.951,48.826,2253.113,,hong kong,1132.957,156661.768
malawi,0.029154332,18.1,1095.042,197.519,133.756,4360.973,,hungary,4741.876,193644.969
malaysia,0.094225984,29.9,26808.164,96.254,1074.804,130966.544,,iceland,276.579,495219.528
maldives,0.169917882,30.6,15183.616,1454.433,548.177,326818.366,,india,374.314,30883.298
mali,0.013914751,16.4,2014.306,15.196,34.954,1463.675,,indonesia,562.701,21813.482
malta,0.12966925,42.4,36513.323,1454.037,1263.321,163530.324,,iran,1652.288,84486.802
mauritania,0.03820734,20.3,3597.633,4.289,205.65,12295.005,,iraq,611.496,56372.161
mauritius,0.117023139,37.4,20292.745,622.962,773.503,168725.676,,ireland,1373.296,297882.721
mexico,0.083015354,29.3,17336.469,66.444,2483.514,43876.912,,isle of man,1018.616,353225.618
moldova,0.122827215,37.6,5189.972,123.655,2846.652,127951.988,,israel,1136.476,428643.203
mongolia,0.074537921,28.6,11840.846,1.98,653.895,276270.98,,italy,2657.093,250235.197
